uhafID,father,child
UHAFTMP_0,,Cell
UHAFTMP_1,Cell,Epithelial tissue
UHAFTMP_2,Cell,Connective tissue
UHAFTMP_3,Cell,Muscle tissue
UHAFTMP_4,Cell,Nerve tissue
UHAFTMP_5,Epithelial tissue,Epithelial cell
UHAFTMP_6,Epithelial tissue,Epithelial progenitor cell
UHAFTMP_7,Epithelial tissue,Oogonial stem cell
UHAFTMP_8,Connective tissue,Ovarian connective tissue cell
UHAFTMP_9,Ovarian connective tissue cell,Oocyte progenitor
UHAFTMP_10,Oocyte progenitor,Primary oocyte
UHAFTMP_11,Oocyte progenitor,Secondary oocyte
UHAFTMP_12,Ovarian connective tissue cell,Germ cell
UHAFTMP_13,Germ cell,Oocyte(Ootid/Ovum)
UHAFTMP_14,Ovarian connective tissue cell,Polar body
UHAFTMP_15,Polar body,Primary polar body
UHAFTMP_16,Polar body,Secondary polar body
UHAFTMP_17,Ovarian connective tissue cell,Periovular cell
UHAFTMP_18,Periovular cell,Follicular cell
UHAFTMP_19,Periovular cell,Granulosa cell
UHAFTMP_20,Granulosa cell,Granulosa lutein cell
UHAFTMP_21,Periovular cell,Theca cell
UHAFTMP_22,Theca cell,Theca lutein cell
UHAFTMP_23,Ovarian connective tissue cell,Hilus cell
UHAFTMP_24,Connective tissue,Stromal cell
UHAFTMP_25,Stromal cell,Adipocyte
UHAFTMP_26,Stromal cell,Fibroblast
UHAFTMP_27,Muscle tissue,Muscle cell
UHAFTMP_28,Muscle cell,Smooth muscle cell
UHAFTMP_29,Nerve tissue,Neuroglial cell
UHAFTMP_30,Neuroglial cell,Schwann cell
UHAFTMP_31,Neuroglial cell,Satellite cell
UHAFTMP_32,Nerve tissue,Neuron
UHAFTMP_33,Neuron,Amino acid neuron
UHAFTMP_34,Amino acid neuron,Gabaergic neuron
UHAFTMP_35,Amino acid neuron,Glutamatergic neuron
UHAFTMP_36,Amino acid neuron,Cholinergic neuron
UHAFTMP_37,Amino acid neuron,Histaminergic neuron
UHAFTMP_38,Neuron,Aminergic neuron
UHAFTMP_39,Aminergic neuron,Dopaminergic neuron
UHAFTMP_40,Aminergic neuron,Serotonergic neuron
UHAFTMP_41,Aminergic neuron,Noradrenergic neuron
UHAFTMP_42,Neuron,Peptidergic neuron
UHAFTMP_43,Epithelial cell,Myoepithelial cell
UHAFTMP_44,Myoepithelial cell,Myoid cell
UHAFTMP_45,Epithelial cell,Sustentacular cell
UHAFTMP_46,Sustentacular cell,Sertoli cell
UHAFTMP_47,Epithelial cell,Endothelial cell
UHAFTMP_48,Epithelial tissue,Acinar cell
UHAFTMP_49,Epithelial tissue,Tubule cell
UHAFTMP_50,Epithelial tissue,Spermatogonial stem cell
UHAFTMP_51,Epithelial tissue,Spermatogenic cell
UHAFTMP_52,Spermatogenic cell,Spermatogonia
UHAFTMP_53,Spermatogonia,Differentiating spermatogonia
UHAFTMP_54,Spermatogonia,Differentiated spermatogonia
UHAFTMP_55,Spermatogenic cell,Primary spermatocyte
UHAFTMP_56,Primary spermatocyte,Leptotene spermatocyte
UHAFTMP_57,Primary spermatocyte,Diplotene spermatocyte
UHAFTMP_58,Primary spermatocyte,Pachytene spermatocyte
UHAFTMP_59,Primary spermatocyte,Zygotene spermatocyte
UHAFTMP_60,Spermatogenic cell,Secondary spermatocyte
UHAFTMP_61,Epithelial tissue,Spermatid
UHAFTMP_62,Epithelial tissue,Sperm
UHAFTMP_63,Connective tissue,Fasciculata cell
UHAFTMP_64,Connective tissue,Interstitial cell
UHAFTMP_65,Interstitial cell,Leydig cell
UHAFTMP_66,Stromal cell,Mesenchymal stromal cell
UHAFTMP_67,Muscle tissue,Muscle progenitor cell
UHAFTMP_68,Muscle progenitor cell,Muscle satellite cell
UHAFTMP_69,Smooth muscle cell,Vascular smooth muscle cell
UHAFTMP_70,Smooth muscle cell,Lymphatic smooth muscle cell
UHAFTMP_71,Smooth muscle cell,Visceral smooth muscle cell
UHAFTMP_72,Epithelial cell,Basal cell
UHAFTMP_73,Epithelial cell,Luminal cell
UHAFTMP_74,Epithelial cell,Secretory epithelial cells
UHAFTMP_75,Secretory epithelial cells,Endocrine cell
UHAFTMP_76,Epithelial cell,Amnion cell
UHAFTMP_77,Epithelial cell,Trophoblast cell
UHAFTMP_78,Endothelial cell,Capillary endothelial cell
UHAFTMP_79,Basal cell,Basal decidual cell
UHAFTMP_80,Basal cell,Basal membrane cell
UHAFTMP_81,Basal membrane cell,Capillary basal membrane cell
UHAFTMP_82,Neuron,Aminergicneuron
UHAFTMP_83,Aminergicneuron,Dopaminergic neuron
UHAFTMP_84,Aminergicneuron,Serotonergic neuron
UHAFTMP_85,Aminergicneuron,Noradrenergic neuron
UHAFTMP_86,Basal cell,Predecidual cell
UHAFTMP_87,Epithelial cell,Ciliated cell
UHAFTMP_88,Epithelial cell,Vascular parietal cell
UHAFTMP_89,Epithelial cell,Reverse cell
UHAFTMP_90,Epithelial tissue,Endometrial stem cell
UHAFTMP_91,Epithelial tissue,Mesothelial cell
UHAFTMP_92,Neuron,Inhibitory neuron
UHAFTMP_93,Inhibitory neuron,PV inhibitory neuron
UHAFTMP_94,Inhibitory neuron,SOM inhibitory neuron
UHAFTMP_95,Inhibitory neuron,5HT3aR expressing neuron
UHAFTMP_96,5HT3aR expressing neuron,VIP inhibitory neuron
UHAFTMP_97,5HT3aR expressing neuron,Reelin expressing neuron
UHAFTMP_98,Inhibitory neuron,Stellate cell
UHAFTMP_99,Inhibitory neuron,Basket cell
UHAFTMP_100,Inhibitory neuron,Pukinje cell
UHAFTMP_101,Inhibitory neuron,Golgi cell
UHAFTMP_102,Inhibitory neuron,Fusiform cell
UHAFTMP_103,Neuron,Excitatory neuron
UHAFTMP_104,Excitatory neuron,Granule cell
UHAFTMP_105,Neuroglial cell,Astrocyte
UHAFTMP_106,Astrocyte,Fibrous astrocyte
UHAFTMP_107,Astrocyte,Protoplasmic astrocyte
UHAFTMP_108,Neuroglial cell,Oligodendrocyte
UHAFTMP_109,Neuroglial cell,Microglia
UHAFTMP_110,Neuroglial cell,Oligodendrocyte precursor cell (OPC)
UHAFTMP_111,Neuroglial cell,Ependymal cell
UHAFTMP_112,Nerve tissue,Neural progenitor cell
UHAFTMP_113,Nerve tissue,Progenitor cell
UHAFTMP_114,Nerve tissue,Proliferating cell
UHAFTMP_115,Endothelial cell,Pericyte
UHAFTMP_116,Epithelial tissue,Vascular cell
UHAFTMP_117,Connective tissue,Mesenchymal cell
UHAFTMP_118,Smooth muscle cell,Vascular smooth cell
UHAFTMP_119,Smooth muscle cell,Lymphatic smooth cell
UHAFTMP_120,Neuron,Sensory neuron
UHAFTMP_121,Sensory neuron,Photoreceptor cell
UHAFTMP_122,Photoreceptor cell,Rod cell
UHAFTMP_123,Photoreceptor cell,Cone cell
UHAFTMP_124,Sensory neuron,Bipolar cell
UHAFTMP_125,Bipolar cell,Amacrine cell
UHAFTMP_126,Bipolar cell,Horizontal cell
UHAFTMP_127,Bipolar cell,Interplexiform cell
UHAFTMP_128,Sensory neuron,Ganglion cell
UHAFTMP_129,Ganglion cell,Retinal ganglion cell
UHAFTMP_130,Sensory neuron,Intrinsically photosensitive retinal ganglion cell (ipRGC)
UHAFTMP_131,Neuroglial cell,Muller cell
UHAFTMP_132,Epithelial cell,Polyhedral cell
UHAFTMP_133,Polyhedral cell,Prickle cell
UHAFTMP_134,Epithelial cell,Vascular epithelial cell
UHAFTMP_135,Epithelial cell,Pigment epithelial cell
UHAFTMP_136,Epithelial cell,Melanocyte
UHAFTMP_137,Fibroblast,Keratocyte
UHAFTMP_138,Neuron,Pyramidal neuron
UHAFTMP_139,Neuron,Purkinje cell
UHAFTMP_140,Neuron,Motor neuron
UHAFTMP_141,Motor neuron,Renshaw cell
UHAFTMP_142,Motor neuron,Tract cell
UHAFTMP_143,Neuron,Sympathetic neuron
UHAFTMP_144,Endothelial cell,Vascular endothelial cell
UHAFTMP_145,Endothelial cell,Lymphatic endothelial cell
UHAFTMP_146,Epithelial cell,Perineural epithelial cell
UHAFTMP_147,Epithelial cell,Keratinocyte
UHAFTMP_148,Secretory epithelial cells,Sebaceous gland cell
UHAFTMP_149,Sebaceous gland cell,Sebaceous cell
UHAFTMP_150,Secretory epithelial cells,Sweat gland cell
UHAFTMP_151,Sweat gland cell,Eccrine sweat gland cell
UHAFTMP_152,Eccrine sweat gland cell,Clear cell
UHAFTMP_153,Eccrine sweat gland cell,Dark cell
UHAFTMP_154,Sweat gland cell,Apocrien sweat gland cell
UHAFTMP_155,Epithelial tissue,Proliferating cell
UHAFTMP_156,Connective tissue,Hair matrix cell
UHAFTMP_157,Fibroblast,Fibrocyte
UHAFTMP_158,Muscle cell,Skeletal muscle cell
UHAFTMP_159,Skeletal muscle cell,Dermal muscle
UHAFTMP_160,Neuron,Merkel cell
UHAFTMP_161,Epithelial cell,Brush cell
UHAFTMP_162,Epithelial cell,Small granule cell(Kulchitsky cell)
UHAFTMP_163,Secretory epithelial cells,Goblet cell
UHAFTMP_164,Neuron,Olfactory neuron
UHAFTMP_165,Neuron,Mitral cell
UHAFTMP_166,Neuron,Tufted cell
UHAFTMP_167,Secretory epithelial cells,Mucous gland cell
UHAFTMP_168,Secretory epithelial cells,Serous gland cell
UHAFTMP_169,Secretory epithelial cells,Tracheal gland cell
UHAFTMP_170,Connective tissue,Osseous tissue cell
UHAFTMP_171,Osseous tissue cell,Chondroblast
UHAFTMP_172,Osseous tissue cell,Chondrocyte
UHAFTMP_173,Epithelial cell,DNES small granule cell
UHAFTMP_174,Secretory epithelial cells,Club cell(Bronchiolar exocrine cell/Clara cell)
UHAFTMP_175,Epithelial cell,Alveolar cell
UHAFTMP_176,Alveolar cell,Type I alveolar cell(Type I pneumocyte)
UHAFTMP_177,Alveolar cell,Type II alveolar cell(Type II pneumocyte)
UHAFTMP_178,Endothelial cell,Endocardial cell
UHAFTMP_179,Muscle cell,Cardiomyocyte cell
UHAFTMP_180,Cardiomyocyte cell,Autorhythmic cell
UHAFTMP_181,Autorhythmic cell,Pacemaker cell
UHAFTMP_182,Autorhythmic cell,Transitional cell
UHAFTMP_183,Autorhythmic cell,Purkinje fiber
UHAFTMP_184,Cardiomyocyte cell,Working cell
UHAFTMP_185,Epithelial cell,Thymic epithelial cell
UHAFTMP_186,Thymic epithelial cell,Cortical thymic epithelial cell
UHAFTMP_187,Cortical thymic epithelial cell,Subcapsule epithelial cell
UHAFTMP_188,Cortical thymic epithelial cell,Stellate epithelial cell
UHAFTMP_189,Stellate epithelial cell,Thymic nurse cell
UHAFTMP_190,Thymic epithelial cell,Medullary thymic epithelial cell
UHAFTMP_191,Medullary thymic epithelial cell,Medullary epithelial cell
UHAFTMP_192,Medullary thymic epithelial cell,Thymic corpuscle epithelial cell
UHAFTMP_193,Fibroblast,Fibroblastic synovial cell(Type B cell)
UHAFTMP_194,Connective tissue,Hemocyte
UHAFTMP_195,Hemocyte,Antigen presenting cell
UHAFTMP_196,Hemocyte,Lymphocyte
UHAFTMP_197,Lymphocyte,Adaptive lymphoid cell
UHAFTMP_198,Adaptive lymphoid cell,B cell
UHAFTMP_199,B cell,Breg
UHAFTMP_200,B cell,Naïve B cell
UHAFTMP_201,B cell,Memory B cell
UHAFTMP_202,B cell,Plasma B cell
UHAFTMP_203,B cell,Plasmablast
UHAFTMP_204,B cell,Germinal center B cell
UHAFTMP_205,Germinal center B cell,Centrocyte B cell
UHAFTMP_206,B cell,B2 cell
UHAFTMP_207,B2 cell,Follicular B cell
UHAFTMP_208,B2 cell,Marginal zone B cell
UHAFTMP_209,Adaptive lymphoid cell,B1 cell
UHAFTMP_210,Adaptive lymphoid cell,T cell
UHAFTMP_211,T cell,Naïve T cell
UHAFTMP_212,T cell,Proliferating T cell
UHAFTMP_213,T cell,Activated T cell
UHAFTMP_214,T cell,Double positive T cell
UHAFTMP_215,Double positive T cell,Large DP
UHAFTMP_216,Double positive T cell,Small DP
UHAFTMP_217,T cell,CD4 T cell
UHAFTMP_218,CD4 T cell,Naïve CD4 T cell
UHAFTMP_219,CD4 T cell,Helper T cell
UHAFTMP_220,Helper T cell,Th1
UHAFTMP_221,Helper T cell,Th2
UHAFTMP_222,Helper T cell,Th9
UHAFTMP_223,Helper T cell,Th17
UHAFTMP_224,Helper T cell,Th22
UHAFTMP_225,Helper T cell,Tfh
UHAFTMP_226,CD4 T cell,CD4 Treg
UHAFTMP_227,CD4 T cell,Cytotoxic CD4 T cell
UHAFTMP_228,CD4 T cell,Memory CD4 T cell
UHAFTMP_229,Memory CD4 T cell,CD4 Trm
UHAFTMP_230,Memory CD4 T cell,CD4 Tem
UHAFTMP_231,Memory CD4 T cell,CD4 Tcm
UHAFTMP_232,Memory CD4 T cell,CD4 Temra
UHAFTMP_233,T cell,CD8 T cell
UHAFTMP_234,CD8 T cell,Naïve CD8 T cell
UHAFTMP_235,CD8 T cell,Cytotoxic CD8 T cell
UHAFTMP_236,Cytotoxic CD8 T cell,CD8 Tc1
UHAFTMP_237,Cytotoxic CD8 T cell,CD8 Tc2
UHAFTMP_238,Cytotoxic CD8 T cell,CD8 Tc9
UHAFTMP_239,Cytotoxic CD8 T cell,CD8 Tc17
UHAFTMP_240,CD8 T cell,CD8 Treg
UHAFTMP_241,CD8 T cell,Memory CD8 T cell
UHAFTMP_242,Memory CD8 T cell,CD8 Trm
UHAFTMP_243,Memory CD8 T cell,CD8 Tem
UHAFTMP_244,Memory CD8 T cell,CD8 Tcm
UHAFTMP_245,Memory CD8 T cell,CD8 Temra
UHAFTMP_246,T cell,Unconventional T cell
UHAFTMP_247,Unconventional T cell,NK T cell
UHAFTMP_248,NK T cell,Type I NKT
UHAFTMP_249,NK T cell,Type II NKT
UHAFTMP_250,Unconventional T cell,Gamma delta T cell
UHAFTMP_251,Unconventional T cell,MAIT cell
UHAFTMP_252,Unconventional T cell,CD1-restricted T cell
UHAFTMP_253,Lymphocyte,Innate lymphoid cell(ILC)
UHAFTMP_254,Innate lymphoid cell(ILC),NK cell
UHAFTMP_255,Innate lymphoid cell(ILC),ILC1
UHAFTMP_256,Innate lymphoid cell(ILC),ILC2
UHAFTMP_257,Innate lymphoid cell(ILC),ILC3
UHAFTMP_258,ILC3,NCR+ ILC3
UHAFTMP_259,ILC3,NCR- ILC3
UHAFTMP_260,Innate lymphoid cell(ILC),Lymphoid tissue inducer(Lti)
UHAFTMP_261,Hemocyte,Myeloid cell
UHAFTMP_262,Myeloid cell,Granulocyte
UHAFTMP_263,Granulocyte,Neutrophilic granulocyte
UHAFTMP_264,Granulocyte,Eosinophilic granulocyte
UHAFTMP_265,Granulocyte,Basophilic granulocyte
UHAFTMP_266,Granulocyte,Mast cell
UHAFTMP_267,Myeloid cell,Monocyte
UHAFTMP_268,Myeloid cell,Macrophage
UHAFTMP_269,Macrophage,Alveolar macrophage
UHAFTMP_270,Macrophage,Interstitial macrophage
UHAFTMP_271,Macrophage,Tumor associated macrophage
UHAFTMP_272,Macrophage,Kupffer cell
UHAFTMP_273,Macrophage,Monocyte-derived macrophage
UHAFTMP_274,Macrophage,Osteoclasts
UHAFTMP_275,Macrophage,Tissue-resident macrophage
UHAFTMP_276,Tissue-resident macrophage,Langerhans cell
UHAFTMP_277,Myeloid cell,Dendritic cell
UHAFTMP_278,Dendritic cell,Conventional dendritic cell
UHAFTMP_279,Conventional dendritic cell,Conventional DC1
UHAFTMP_280,Conventional dendritic cell,Conventional DC2
UHAFTMP_281,Dendritic cell,Plasmacytoid dendritic cell
UHAFTMP_282,Dendritic cell,Monocyte derived dendritic cell
UHAFTMP_283,Monocyte derived dendritic cell,Langhans giant cell
UHAFTMP_284,Dendritic cell,Interdigitating cell
UHAFTMP_285,Dendritic cell,Veiled cell
UHAFTMP_286,Myeloid cell,Megakaryocyte
UHAFTMP_287,Myeloid cell,Reticulocyte
UHAFTMP_288,Myeloid cell,Erythrocyte
UHAFTMP_289,Connective tissue,Haematopoietic stem and progenitor cell
UHAFTMP_290,Haematopoietic stem and progenitor cell,Hemopoietic stem cell(HSC)
UHAFTMP_291,Haematopoietic stem and progenitor cell,Multipotent hematopoietic progenitor
UHAFTMP_292,Multipotent hematopoietic progenitor,Multipotent progenitor(MPP)
UHAFTMP_293,Multipotent hematopoietic progenitor,Granulocyte–monocyte–lymphoid progenitor
UHAFTMP_294,Haematopoietic stem and progenitor cell,Lympohoid progenitor
UHAFTMP_295,Lympohoid progenitor,Lymphoid-primed multipotent progenitor
UHAFTMP_296,Lympohoid progenitor,Common lymphoid progenitor(CLP)
UHAFTMP_297,Lympohoid progenitor,Early thymic progenitor(ETP)
UHAFTMP_298,Lympohoid progenitor,Double Negetive T cell precursor
UHAFTMP_299,Lympohoid progenitor,Double Positive T cell precursor
UHAFTMP_300,Lympohoid progenitor,Innate lymphoid progenitor(ILCP)
UHAFTMP_301,Lympohoid progenitor,α-lymphoid progenitor(αLP)
UHAFTMP_302,Lympohoid progenitor,Early innate lymphoid progenitor(EILP)
UHAFTMP_303,Lympohoid progenitor,NK progenitor(NKP)
UHAFTMP_304,Lympohoid progenitor,Pro-B cell
UHAFTMP_305,Lympohoid progenitor,Pre-B cell
UHAFTMP_306,Lympohoid progenitor,LTi progenitor
UHAFTMP_307,Haematopoietic stem and progenitor cell,Myeloid progenitor
UHAFTMP_308,Myeloid progenitor,Common myeloid progenitor(CMP)
UHAFTMP_309,Myeloid progenitor,Erythroid progenitor cell
UHAFTMP_310,Myeloid progenitor,Granulocyte-monocyte progenitor(GMP)
UHAFTMP_311,Myeloid progenitor,Monocyte-dendritic cell progenitor(MDP)
UHAFTMP_312,Myeloid progenitor,Granulocyte progenitor
UHAFTMP_313,Granulocyte progenitor,Neutrophilic myelocyte
UHAFTMP_314,Granulocyte progenitor,Neutrophilic metamyelocyte
UHAFTMP_315,Granulocyte progenitor,Eosinophilic myelocyte
UHAFTMP_316,Granulocyte progenitor,Eosinophilic metamyelocyte
UHAFTMP_317,Granulocyte progenitor,Basophilic myelocyte
UHAFTMP_318,Granulocyte progenitor,Basophilic metamyelocyte
UHAFTMP_319,Myeloid progenitor,Monocyte progenitor
UHAFTMP_320,Monocyte progenitor,Macrophage dendritic cell progenitor
UHAFTMP_321,Monocyte progenitor,Common dendritic cell progenitor(CDP)
UHAFTMP_322,Monocyte progenitor,Pre conventional dendritic cell
UHAFTMP_323,Monocyte progenitor,Mast cell progenitor(MCP)
UHAFTMP_324,Erythroid progenitor cell,Megakaryocyte erythrocyte progenitor(MEP)
UHAFTMP_325,Erythroid progenitor cell,Megakaryoblast
UHAFTMP_326,Erythroid progenitor cell,Promegakaryocyte
UHAFTMP_327,Erythroid progenitor cell,Proerythroblast
UHAFTMP_328,Erythroid progenitor cell,Basophilic erythroblast
UHAFTMP_329,Erythroid progenitor cell,Polychromatophilic erythroblast
UHAFTMP_330,Erythroid progenitor cell,Orthochromatophilic erythroblast(Normoblast)
UHAFTMP_331,Stromal cell,Reticular cell
UHAFTMP_332,Secretory epithelial cells,Exocrine cell
UHAFTMP_333,Exocrine cell,Acinar cell
UHAFTMP_334,Exocrine cell,Ductal cell
UHAFTMP_335,Exocrine cell,Mucous gland cell
UHAFTMP_336,Exocrine cell,Serous gland cell
UHAFTMP_337,Endocrine cell,Alpha cell
UHAFTMP_338,Endocrine cell,Beta cell
UHAFTMP_339,Endocrine cell,Delta cell
UHAFTMP_340,Endocrine cell,Gamma cell
UHAFTMP_341,Endocrine cell,D1 cell
UHAFTMP_342,Exocrine cell,Centroacinar cell
UHAFTMP_343,Connective tissue,Proliferating cell
UHAFTMP_344,Amino acid neuron,GABAergic neuron
UHAFTMP_345,Epithelial cell,Hepatocyte
UHAFTMP_346,Epithelial cell,Cholangiocyte
UHAFTMP_347,Endothelial cell,Sinusoidal endothelial cell
UHAFTMP_348,Connective tissue,Hepatic stellate cell
UHAFTMP_349,Exocrine cell,Sebaceous gland cell
UHAFTMP_350,Dermal muscle,Arrector pili muscle
UHAFTMP_351,Exocrine cell,Sweat gland cell
UHAFTMP_352,Endocrine cell,Thyroid follicular epithelial cell
UHAFTMP_353,Endocrine cell,Parafollicular cell
UHAFTMP_354,Endocrine cell,Acidophil
UHAFTMP_355,Acidophil,Somatotroph
UHAFTMP_356,Acidophil,Mammotroph
UHAFTMP_357,Endocrine cell,Thyrotroph
UHAFTMP_358,Endocrine cell,Corticotroph
UHAFTMP_359,Endocrine cell,Gonadotroph
UHAFTMP_360,Endocrine cell,Chromophobe
UHAFTMP_361,Neuron,Secretory neuron
UHAFTMP_362,Neuroglial cell,Pituicyte
UHAFTMP_363,Endocrine cell,Pinealocyte
UHAFTMP_364,Endocrine cell,Chromaffin cell
UHAFTMP_365,Chromaffin cell,Epinephrine-secreting cell
UHAFTMP_366,Chromaffin cell,Nonepinephrine-secreting cell
UHAFTMP_367,Endocrine cell,Zona fasciculata cell
UHAFTMP_368,Endocrine cell,Zona glomerulosa cell
UHAFTMP_369,Endocrine cell,Zona seticularis cell
UHAFTMP_370,Endothelial cell,Podocyte
UHAFTMP_371,Epithelial cell,Macula densa cell
UHAFTMP_372,Epithelial cell,Renal tubular epithelial cell
UHAFTMP_373,Renal tubular epithelial cell,Proximal convoluted tubule progenitor
UHAFTMP_374,Renal tubular epithelial cell,Proximal convoluted tubule
UHAFTMP_375,Renal tubular epithelial cell,Loop of henle progenitor
UHAFTMP_376,Renal tubular epithelial cell,Loop of Henle
UHAFTMP_377,Renal tubular epithelial cell,Distal convoluted tubule
UHAFTMP_378,Renal tubular epithelial cell,Collecting duct
UHAFTMP_379,Collecting duct,Principle cell
UHAFTMP_380,Collecting duct,Intercalated cell
UHAFTMP_381,Epithelial tissue,Ureteric epithelial cell
UHAFTMP_382,Epithelial tissue,Ureteric bud cell
UHAFTMP_383,Connective tissue,Mesangial cell
UHAFTMP_384,Vascular smooth muscle cell,Intraglomerular mesangial cell
UHAFTMP_385,Vascular smooth muscle cell,Extraglomerular mesangial cell(Polar cushion cell)
UHAFTMP_386,Vascular smooth muscle cell,Juxtaglomerular cell
UHAFTMP_387,Epithelial cell,Transitional epithelial cell(Stratified urothelial cell)
UHAFTMP_388,Transitional epithelial cell(Stratified urothelial cell),Cuboidal(Columnar cell)
UHAFTMP_389,Transitional epithelial cell(Stratified urothelial cell),Umbrella cell
UHAFTMP_390,Transitional epithelial cell(Stratified urothelial cell),Urothelial cell
UHAFTMP_391,Transitional epithelial cell(Stratified urothelial cell),Superficial cell
UHAFTMP_392,Epithelial tissue,Myoepithelial cell
UHAFTMP_393,Connective tissue,Dentinal tissue cell
UHAFTMP_394,Dentinal tissue cell,Odontoblast
UHAFTMP_395,Dentinal tissue cell,Ameloblast
UHAFTMP_396,Dentinal tissue cell,Cementocyte
UHAFTMP_397,Neuron,Gustatory cell
UHAFTMP_398,Endothelial cell,D cell(X/A cell)
UHAFTMP_399,Mucous gland cell,Surface mucous cell
UHAFTMP_400,Exocrine cell,Fundic gland
UHAFTMP_401,Fundic gland,Chief cell
UHAFTMP_402,Fundic gland,Oxyntic cell
UHAFTMP_403,Fundic gland,Parietal cell
UHAFTMP_404,Fundic gland,Mucous neck cell
UHAFTMP_405,Fundic gland,Enteroendocrine cell
UHAFTMP_406,Exocrine cell,Cardiac gland
UHAFTMP_407,Exocrine cell,Pit cell
UHAFTMP_408,Exocrine cell,Pyloric gland
UHAFTMP_409,Epithelial cell,Enterocyte
UHAFTMP_410,Connective tissue,Inflammatory cell
UHAFTMP_411,Exocrine cell,Intestinal gland
UHAFTMP_412,Intestinal gland,Microfold cell(M cell)
UHAFTMP_413,Intestinal gland,Paneth cell
UHAFTMP_414,Exocrine cell,Duodenal gland(Brunner's gland)
UHAFTMP_415,Exocrine cell,Goblet cell
UHAFTMP_416,Endocrine cell,Enteroendocrine cell
UHAFTMP_417,Epithelial cell,Enterocyte progenitor
UHAFTMP_418,Epithelial cell,Epithelial stem cell
UHAFTMP_419,Epithelial cell,Colonocyte
UHAFTMP_420,Epithelial cell,Inflamed epithelial cell
UHAFTMP_421,Epithelial cell,Endocrine cell
UHAFTMP_422,Epithelial cell,Exocrine cell
UHAFTMP_423,Fibroblast,Myofibroblast
UHAFTMP_424,Neuron,Enteric nerval cell
UHAFTMP_425,Neuroglial cell,Enteric glial cell
UHAFTMP_426,Skeletal muscle cell,Fast skeletal muscle cell
UHAFTMP_427,Muscle tissue,Tendon cell
UHAFTMP_428,Nerve tissue,Autonomic nervous system
UHAFTMP_429,Osseous tissue cell,Osteoclast
UHAFTMP_430,Osseous tissue cell,Osteoblast
UHAFTMP_431,Osseous tissue cell,Osteocyte